,match_place,la,lo
st nicolaijs,St. Niclas,53.800893,21.571831
sinte niclaus,St. Niclas,53.800893,21.571831
ste nicolas,St. Niclas,53.800893,21.571831
st nicolais,St. Niclas,53.800893,21.571831
sint niclaus,St. Niclas,53.800893,21.571831
sente nicolaus,St. Niclas,53.800893,21.571831
ste nicolaus,St. Niclas,53.800893,21.571831
ste nicolaes,St. Niclas,53.800893,21.571831
ste nicola,St. Niclas,53.800893,21.571831
ste niclaes,St. Niclas,53.800893,21.571831
vaelen,Velen,51.894109,6.98537
vlaminghen,Vlaerdinghen,51.908238,4.342666
vvlaminghen,Vlaerdinghen,51.908238,4.342666
vlamijnghen,Vlaerdinghen,51.908238,4.342666
vlaeminghen,Vlaerdinghen,51.908238,4.342666
vlaminghe,Vlaerdinghen,51.908238,4.342666
vlamingen,Vlaerdinghen,51.908238,4.342666
vlaemijnghen,Vlaerdinghen,51.908238,4.342666
vlamynghen,Vlaerdinghen,51.908238,4.342666
vlaemingen,Vlaerdinghen,51.908238,4.342666
flaminghen,Vlaerdinghen,51.908238,4.342666
vlaminge,Vlaerdinghen,51.908238,4.342666
vlamerijnghen,Vlaerdinghen,51.908238,4.342666
vlaerdinghen,Vlaerdinghen,51.908238,4.342666
vlaerdingen,Vlaerdinghen,51.908238,4.342666
vlaer dingen,Vlaerdinghen,51.908238,4.342666
vlardingen,Vlaerdinghen,51.908238,4.342666
vlaerdinge,Vlaerdinghen,51.908238,4.342666
vlaerdinger,Vlaerdinghen,51.908238,4.342666
vlaerdin ge,Vlaerdinghen,51.908238,4.342666
wastene,Warstene,51.447222,8.350129
waestene,Warstene,51.447222,8.350129
watene,Warstene,51.447222,8.350129
wasten,Warstene,51.447222,8.350129
wasene,Warstene,51.447222,8.350129
waesten,Warstene,51.447222,8.350129
westen,Warstene,51.447222,8.350129
waste,Warstene,51.447222,8.350129
oostendenaers,Oostende,51.2258565,2.919496
oosthendenaers,Oostende,51.2258565,2.919496
oostende naers,Oostende,51.2258565,2.919496
oost endenaers,Oostende,51.2258565,2.919496
ostendenaers,Oostende,51.2258565,2.919496
oostendenaer,Oostende,51.2258565,2.919496
oost hendenaers,Oostende,51.2258565,2.919496
oostendenaere,Oostende,51.2258565,2.919496
ousthendenaers,Oostende,51.2258565,2.919496
oosthendenners,Oostende,51.2258565,2.919496
oostende naere,Oostende,51.2258565,2.919496
oosthendenaeren,Oostende,51.2258565,2.919496
doosthendenaers,Oostende,51.2258565,2.919496
muyden,Muden,52.526188,10.358849
muden,Muden,52.526188,10.358849
muiden,Muden,52.526188,10.358849
mude,Muden,52.526188,10.358849
muijden,Muden,52.526188,10.358849
muijen,Muden,52.526188,10.358849
muijde,Muden,52.526188,10.358849
muije,Muden,52.526188,10.358849
ludick,Ledicken,57.081146,21.769605
luydick,Ledicken,57.081146,21.769605
ludicke,Ledicken,57.081146,21.769605
ludic,Ledicken,57.081146,21.769605
ludicx,Ledicken,57.081146,21.769605
ludich,Ledicken,57.081146,21.769605
ludic2,Ledicken,57.081146,21.769605
luydich,Ledicken,57.081146,21.769605
cathedrale kercke,,,
catthedrale kercke,,,
cathedrale  kercke,,,
cathedraele kercke,,,
catedraele kercke,,,
de cathedraele kercke,,,
de catthedraele kercke,,,
de cathedrale kercke,,,
de catedraele kercke,,,
de cathridraele kercke,,,
de katedraele kercke,,,
de catidraele kercke,,,
ouwerschie,Ouwerschie,51.939243,4.420842
ouwe schie,Ouwerschie,51.939243,4.420842
ouverschie,Ouwerschie,51.939243,4.420842
ouderschie,Ouwerschie,51.939243,4.420842
overschie,Ouwerschie,51.939243,4.420842
oversched,Ouwerschie,51.939243,4.420842
overschelde,Ouwerschie,51.939243,4.420842
over schelde,Ouwerschie,51.939243,4.420842
ouderschije,Ouwerschie,51.939243,4.420842
onderschie,Ouwerschie,51.939243,4.420842
"""'s hage""",Slage,54.362853,16.678859
"""'s haege""",Slage,54.362853,16.678859
"""'s haegen""",Slage,54.362853,16.678859
"""s' haege""",Slage,54.362853,16.678859
"""s' hage""",Slage,54.362853,16.678859
s haege,Slage,54.362853,16.678859
s hage,Slage,54.362853,16.678859
shage,Slage,54.362853,16.678859
waterlant,Westerlynde,52.120801,10.225338
waterlandt,Westerlynde,52.120801,10.225338
watérlant,Westerlynde,52.120801,10.225338
waterland,Westerlynde,52.120801,10.225338
water land,Westerlynde,52.120801,10.225338
waeterland,Westerlynde,52.120801,10.225338
utregt,Utrecht,52.100140025887015,5.084805569558331
utreght,Utrecht,52.100140025887015,5.084805569558331
uitregt,Utrecht,52.100140025887015,5.084805569558331
uijtregt,Utrecht,52.100140025887015,5.084805569558331
veltstraete,Veltstede,52.183227,9.211592
velt straete,Veltstede,52.183227,9.211592
veldtstraete,Veltstede,52.183227,9.211592
velttraete,Veltstede,52.183227,9.211592
veltstrate,Veltstede,52.183227,9.211592
veldt straete,Veltstede,52.183227,9.211592
veltstra,Veltstede,52.183227,9.211592
velststra,Veltstede,52.183227,9.211592
haringvliet,Heinvlieth,51.863549,4.244545
haringvliety,Heinvlieth,51.863549,4.244545
haring vliet,Heinvlieth,51.863549,4.244545
harinvliet,Heinvlieth,51.863549,4.244545
harinck vliet,Heinvlieth,51.863549,4.244545
harinckvliet,Heinvlieth,51.863549,4.244545
borgerhout,Boechout,51.158834,4.491568
borgherhout,Boechout,51.158834,4.491568
burgherhout,Boechout,51.158834,4.491568
borgherhaut,Boechout,51.158834,4.491568
burgherhoute,Boechout,51.158834,4.491568
burghenhout,Boechout,51.158834,4.491568
atrecht,Utrecht,52.100140025887015,5.084805569558331
atrech,Utrecht,52.100140025887015,5.084805569558331
arecht,Utrecht,52.100140025887015,5.084805569558331
atrec,Utrecht,52.100140025887015,5.084805569558331
secilien,Sicilië,37.587794,14.155048
secilianen,Sicilië,37.587794,14.155048
sicilien,Sicilië,37.587794,14.155048
cecilien,Sicilië,37.587794,14.155048
sicilianen,Sicilië,37.587794,14.155048
sicilie,Sicilië,37.587794,14.155048
scicillien,Sicilië,37.587794,14.155048
siciliën,Sicilië,37.587794,14.155048
cicilien,Sicilië,37.587794,14.155048
cecilie,Sicilië,37.587794,14.155048
ceciliën,Sicilië,37.587794,14.155048
cecilië,Sicilië,37.587794,14.155048
cammerstraete,Hammerstern,53.683855,16.940063
cammer straete,Hammerstern,53.683855,16.940063
cammerstrate,Hammerstern,53.683855,16.940063
cammerstraet,Hammerstern,53.683855,16.940063
camerstraete,Hammerstern,53.683855,16.940063
cammestrate,Hammerstern,53.683855,16.940063
camestraete,Hammerstern,53.683855,16.940063
camerstrate,Hammerstern,53.683855,16.940063
cammerstra,Hammerstern,53.683855,16.940063
camstraete,Hammerstern,53.683855,16.940063
claerestraete,Hammerstern,53.683855,16.940063
cauterstraete,Hammerstern,53.683855,16.940063
clarestraet,Hammerstern,53.683855,16.940063
clierstraete,Hammerstern,53.683855,16.940063
klierstraete,Hammerstern,53.683855,16.940063
cauter straete,Hammerstern,53.683855,16.940063
cauter straetien,Hammerstern,53.683855,16.940063
couterstraet,Hammerstern,53.683855,16.940063
stad purmerende,Purmereijnde,52.509903,4.946108
stadt purmerende,Purmereijnde,52.509903,4.946108
stad purmerende¬,Purmereijnde,52.509903,4.946108
stad purmerend,Purmereijnde,52.509903,4.946108
stad purmereijnde,Purmereijnde,52.509903,4.946108
stadt purmerend,Purmereijnde,52.509903,4.946108
stad van purmerende,Purmereijnde,52.509903,4.946108
steede purmerende,Purmereijnde,52.509903,4.946108
stadt van purmerende,Purmereijnde,52.509903,4.946108
stad van purmerreijnde,Purmereijnde,52.509903,4.946108
stede van pumerende,Purmereijnde,52.509903,4.946108
steede van purmereijnde,Purmereijnde,52.509903,4.946108
steede purmereijnde,Purmereijnde,52.509903,4.946108
stede purmereijnde,Purmereijnde,52.509903,4.946108
de stede van purmereijnde,Purmereijnde,52.509903,4.946108
der stad van purmereijnde,Purmereijnde,52.509903,4.946108
de stad van purmerende,Purmereijnde,52.509903,4.946108
der steede purmereijnde,Purmereijnde,52.509903,4.946108
de stad purmerende,Purmereijnde,52.509903,4.946108
der stad purmerende,Purmereijnde,52.509903,4.946108
de stadt purmerende,Purmereijnde,52.509903,4.946108
de stad purmerend,Purmereijnde,52.509903,4.946108
deze stad purmerende,Purmereijnde,52.509903,4.946108
der stede purmerende,Purmereijnde,52.509903,4.946108
de steede purmerende,Purmereijnde,52.509903,4.946108
der steede purmerende,Purmereijnde,52.509903,4.946108
nimwegen,Nimwegen,51.847301,5.864896
nimweghen,Nimwegen,51.847301,5.864896
nimweegen,Nimwegen,51.847301,5.864896
nimegen,Nimwegen,51.847301,5.864896
niemweghen,Nimwegen,51.847301,5.864896
nimmegen,Nimwegen,51.847301,5.864896
nijmegen,Nimwegen,51.847301,5.864896
nimmeghen,Nimwegen,51.847301,5.864896
niemeghen,Nimwegen,51.847301,5.864896
nimmeghem,Nimwegen,51.847301,5.864896
nijmmeghe,Nimwegen,51.847301,5.864896
nieumeghen,Nimwegen,51.847301,5.864896
niewmegen,Nimwegen,51.847301,5.864896
nieumegen,Nimwegen,51.847301,5.864896
nemweghe,Nimwegen,51.847301,5.864896
niemmege,Nimwegen,51.847301,5.864896
eecloo,Eeklo,51.184202,3.566304
eeckloo,Eeklo,51.184202,3.566304
eeclo,Eeklo,51.184202,3.566304
eeckeloo,Eeklo,51.184202,3.566304
eekloo,Eeklo,51.184202,3.566304
eeckelooy,Eeklo,51.184202,3.566304
eekeloo,Eeklo,51.184202,3.566304
eeckeloe,Eeklo,51.184202,3.566304
eeckloe,Eeklo,51.184202,3.566304
trenten,Torente,54.204055,10.367097
trente,Torente,54.204055,10.367097
tenten,Torente,54.204055,10.367097
den steen,Däensen,52.023824,9.773671
de steen,Däensen,52.023824,9.773671
ten steen,Däensen,52.023824,9.773671
belle,Bellm,52.302122,8.140542
bellem,Bellm,52.302122,8.140542
naerden,Naerden,52.296587,5.162391
luijck,Luik,50.645785,5.576353
luijk,Luik,50.645785,5.576353
luik,Luik,50.645785,5.576353
oude schiedamse poort,Oudeschoot,52.933441,5.955963
oude schie damse poort,Oudeschoot,52.933441,5.955963
oude  schiedamse poort,Oudeschoot,52.933441,5.955963
oude schiedamsepoort,Oudeschoot,52.933441,5.955963
oude schiedamse port,Oudeschoot,52.933441,5.955963
oude schiedamze poort,Oudeschoot,52.933441,5.955963
oude schiedam sepoort,Oudeschoot,52.933441,5.955963
doude schiedamse poort,Oudeschoot,52.933441,5.955963
doude schiedamse port,Oudeschoot,52.933441,5.955963
de schiedamse poort,Oudeschoot,52.933441,5.955963
oude schied poort,Oudeschoot,52.933441,5.955963
de oude schiedamse poort,Oudeschoot,52.933441,5.955963
d oude schiedam se poort,Oudeschoot,52.933441,5.955963
roode schiedamse poort,Oudeschoot,52.933441,5.955963
de oude schiedamsche poort,Oudeschoot,52.933441,5.955963
roo schiedamse poort,Oudeschoot,52.933441,5.955963
roo schiedamse  poort,Oudeschoot,52.933441,5.955963
de nieuwe schiedamse poort,Oudeschoot,52.933441,5.955963
nieuwe schiedamse poort,Oudeschoot,52.933441,5.955963
botersloot,Gutterslo,51.905294,8.377488
bottersloot,Gutterslo,51.905294,8.377488
boter sloot,Gutterslo,51.905294,8.377488
botter sloot,Gutterslo,51.905294,8.377488
boter sloo,Gutterslo,51.905294,8.377488
buttersloot,Gutterslo,51.905294,8.377488
butter sloot,Gutterslo,51.905294,8.377488
torck,Tolck,54.577615,9.63928
torc,Tolck,54.577615,9.63928
torcx,Tolck,54.577615,9.63928
torcxe,Tolck,54.577615,9.63928
oudewater,Oudewater,52.03591144791186,4.864300057673162
oude water,Oudewater,52.03591144791186,4.864300057673162
oude waeter,Oudewater,52.03591144791186,4.864300057673162
ouwater,Oudewater,52.03591144791186,4.864300057673162
oudewat,Oudewater,52.03591144791186,4.864300057673162
landt van waes,Landenes,50.75567,5.080476
lant van waes,Landenes,50.75567,5.080476
lande van waes,Landenes,50.75567,5.080476
landt van aelst,Landenes,50.75567,5.080476
dlandt van waes,Landenes,50.75567,5.080476
tlant van waes,Landenes,50.75567,5.080476
lant van aelst,Landenes,50.75567,5.080476
"""t'lant van waes""",Landenes,50.75567,5.080476
t lant van waes,Landenes,50.75567,5.080476
"""t'landt van waes""",Landenes,50.75567,5.080476
t landt van waes,Landenes,50.75567,5.080476
"""t' landt van waes""",Landenes,50.75567,5.080476
het lant van waes,Landenes,50.75567,5.080476
het landt van waes,Landenes,50.75567,5.080476
het lant van aelst,Landenes,50.75567,5.080476
het landt van aelst,Landenes,50.75567,5.080476
het landt van haelst,Landenes,50.75567,5.080476
"""t'landt van haelst""",Landenes,50.75567,5.080476
lande van aelst,Landenes,50.75567,5.080476
landeken van waes,Landenes,50.75567,5.080476
de lande van waes,Landenes,50.75567,5.080476
den lande van waes,Landenes,50.75567,5.080476
veerleplaetse,Verdelasten,51.921207,9.835174
veerle plaetse,Verdelasten,51.921207,9.835174
verleplaetse,Verdelasten,51.921207,9.835174
verleplaetsen,Verdelasten,51.921207,9.835174
verle plaetse,Verdelasten,51.921207,9.835174
veerleplaet,Verdelasten,51.921207,9.835174
veerleplaats,Verdelasten,51.921207,9.835174
verle plaatse,Verdelasten,51.921207,9.835174
ryssele,Ryele,51.524462,5.023066
rysselen,Ryele,51.524462,5.023066
ryssel,Ryele,51.524462,5.023066
rysele,Ryele,51.524462,5.023066
rysel,Ryele,51.524462,5.023066
romeijn,Rijnen,51.957938,5.565314
romeijns,Rijnen,51.957938,5.565314
romeijnen,Rijnen,51.957938,5.565314
romeijmen,Rijnen,51.957938,5.565314
roomeijnen,Rijnen,51.957938,5.565314
romeinen,Rijnen,51.957938,5.565314
romeynen,Rijnen,51.957938,5.565314
diest,Diest,50.984064,5.050517
oosthuijzen,Oosthuizen,52.5728347724493,5.031859211852682
oost huijzen,Oosthuizen,52.5728347724493,5.031859211852682
oosthuizen,Oosthuizen,52.5728347724493,5.031859211852682
oosthuijzer,Oosthuizen,52.5728347724493,5.031859211852682
oosthuijz,Oosthuizen,52.5728347724493,5.031859211852682
oosthuijzerweg,Oosthuizen,52.5728347724493,5.031859211852682
oosthuijzer weg,Oosthuizen,52.5728347724493,5.031859211852682
oosthuijserweg,Oosthuizen,52.5728347724493,5.031859211852682
oosthuijser weg,Oosthuizen,52.5728347724493,5.031859211852682
gorcum,Gorckum,51.829716,4.974971
gorckum,Gorckum,51.829716,4.974971
gorkum,Gorckum,51.829716,4.974971
brederode,Breideruord,51.942877,6.616929
bredenrode,Breideruord,51.942877,6.616929
bredenroode,Breideruord,51.942877,6.616929
bredenroede,Breideruord,51.942877,6.616929
breeroe,Breideruord,51.942877,6.616929
breedenroede,Breideruord,51.942877,6.616929
breederroede,Breideruord,51.942877,6.616929
noortmannen,Noortlaren,53.12053,6.664954
noortmanne,Noortlaren,53.12053,6.664954
noormannen,Noortlaren,53.12053,6.664954
noordtmanen,Noortlaren,53.12053,6.664954
normannen,Noortlaren,53.12053,6.664954
culenborch,Culenborgh,51.957608,5.225193
cuylenborch,Culenborgh,51.957608,5.225193
culenburch,Culenborgh,51.957608,5.225193
culenborgh,Culenborgh,51.957608,5.225193
kulenburch,Culenborgh,51.957608,5.225193
culemburch,Culenborgh,51.957608,5.225193
ceulenborgh,Culenborgh,51.957608,5.225193
cuylenborg,Culenborgh,51.957608,5.225193
culenbergh,Culenborgh,51.957608,5.225193
coestraete,Chostete,51.881262,11.410375
coestrate,Chostete,51.881262,11.410375
coestraet,Chostete,51.881262,11.410375
koestraete,Chostete,51.881262,11.410375
koestrate,Chostete,51.881262,11.410375
koestraet,Chostete,51.881262,11.410375
koestraat,Chostete,51.881262,11.410375
corenstraet,Chostete,51.881262,11.410375
torenstraet,Chostete,51.881262,11.410375
toren straet,Chostete,51.881262,11.410375
toorenstraet,Chostete,51.881262,11.410375
tooren straet,Chostete,51.881262,11.410375
torenstraat,Chostete,51.881262,11.410375
tooren straat,Chostete,51.881262,11.410375
toorn straat,Chostete,51.881262,11.410375
toornstraat,Chostete,51.881262,11.410375
hoorenstraete,Chostete,51.881262,11.410375
hoorenstraetie,Chostete,51.881262,11.410375
hoorestraete,Chostete,51.881262,11.410375
hoorestraetie,Chostete,51.881262,11.410375
hoore straete,Chostete,51.881262,11.410375
hooren straetjen,Chostete,51.881262,11.410375
torenstraa,Chostete,51.881262,11.410375
koeijstraete,Chostete,51.881262,11.410375
kaeijstraete,Chostete,51.881262,11.410375
waeijstraete,Chostete,51.881262,11.410375
waijstraete,Chostete,51.881262,11.410375
waij straete,Chostete,51.881262,11.410375
clein beenhuijs,,,
clein been huijs,,,
cleijn beenhuijs,,,
cleein beenhuijs,,,
cleinbeenhuijs,,,
clein beenhuis,,,
cleijn been huijs,,,
cleijnbeenhuijs,,,
cleen beenhuijs,,,
cleenbeenhuijs,,,
cleijn beenhuijs &a,,,
t clein beenhuijs,,,
cleenbeen huijs,,,
t clein been huijs,,,
t cleijnbeen huijs,,,
t cleijn beenhuis,,,
t cleijn beenhuij,,,
t cleen beenhuijs,,,
"""t' cleijn beenhuis""",,,
ant cleijn beenhuis,,,
het cleen beenhuijs,,,
het cleein been huis,,,
het clein beenhuis,,,
het clein been huis,,,
austruweel,Osteel,53.532888,7.263093
austruweele,Osteel,53.532888,7.263093
austruwel,Osteel,53.532888,7.263093
austrueel,Osteel,53.532888,7.263093
austruel,Osteel,53.532888,7.263093
oustrueel,Osteel,53.532888,7.263093
oeustrueel,Osteel,53.532888,7.263093
oustruel,Osteel,53.532888,7.263093
rijn,Rhein,53.938093,21.546302
rhijn,Rhein,53.938093,21.546302
peperstraet,Papensee,56.153061,21.030077
peperstraete,Papensee,56.153061,21.030077
peper straet,Papensee,56.153061,21.030077
peeperstraet,Papensee,56.153061,21.030077
pepertraet,Papensee,56.153061,21.030077
peperstrate,Papensee,56.153061,21.030077
peperstraat,Papensee,56.153061,21.030077
paepestraet,Papensee,56.153061,21.030077
coeperstraete,Papensee,56.153061,21.030077
coeperstrate,Papensee,56.153061,21.030077
coeperstraet,Papensee,56.153061,21.030077
copperstraet,Papensee,56.153061,21.030077
cooperstraet,Papensee,56.153061,21.030077
peeperstraat,Papensee,56.153061,21.030077
papestraet,Papensee,56.153061,21.030077
papestraete,Papensee,56.153061,21.030077
papestrate,Papensee,56.153061,21.030077
papestraat,Papensee,56.153061,21.030077
papestraetjen,Papensee,56.153061,21.030077
steendam,Sperendam,52.413326,4.681813
scheepmakers haven,,,
scheepsmakers haven,,,
scheep makers haven,,,
scheepmakershaven,,,
scheepmakers have,,,
scheeps makers haven,,,
scheepmaeckers haven,,,
scheep maekers haven,,,
scheepsmaker haven,,,
scheepmakershavenm,,,
scheepmakers-haven,,,
scheepmakerhaven,,,
scheep maeckers haven,,,
scheepmaeckershaven,,,
de scheepmakers haven,,,
de scheepmaeckers haven,,,
de scheepmakers-haven,,,
nieuwe haven,Nieuwerhaven,51.382428,3.595469
niewe haven,Nieuwerhaven,51.382428,3.595469
nieuwehaven,Nieuwerhaven,51.382428,3.595469
nieuwe have,Nieuwerhaven,51.382428,3.595469
nieue haven,Nieuwerhaven,51.382428,3.595469
nieuweha ven,Nieuwerhaven,51.382428,3.595469
nieuwe  have,Nieuwerhaven,51.382428,3.595469
nieue haeven,Nieuwerhaven,51.382428,3.595469
nieuhaven,Nieuwerhaven,51.382428,3.595469
nieuhav,Nieuwerhaven,51.382428,3.595469
st janspoort,Santpoort,52.428349,4.643966
st janspoorte,Santpoort,52.428349,4.643966
st jans poort,Santpoort,52.428349,4.643966
s janspoort,Santpoort,52.428349,4.643966
st jans poorte,Santpoort,52.428349,4.643966
sint janspoort,Santpoort,52.428349,4.643966
s janspoorte,Santpoort,52.428349,4.643966
sint janspoorte,Santpoort,52.428349,4.643966
sint jans poort,Santpoort,52.428349,4.643966
sint jans poorte,Santpoort,52.428349,4.643966
sinte niclaus kercke,Sinte Nicolaes berge,51.561278,9.978043
sinte nicolais kercke,Sinte Nicolaes berge,51.561278,9.978043
sinte niclaijs kercke,Sinte Nicolaes berge,51.561278,9.978043
ste nicolaus kercke,Sinte Nicolaes berge,51.561278,9.978043
sinte nicolaijs kercke,Sinte Nicolaes berge,51.561278,9.978043
sente nicolaus keercke,Sinte Nicolaes berge,51.561278,9.978043
senter nicolaus keercke,Sinte Nicolaes berge,51.561278,9.978043
sente nicolauskeercke,Sinte Nicolaes berge,51.561278,9.978043
ente nicolaus keercke,Sinte Nicolaes berge,51.561278,9.978043
ste nicolaes kercke,Sinte Nicolaes berge,51.561278,9.978043
ste nicolaiskercke,Sinte Nicolaes berge,51.561278,9.978043
st nicolais kercke,Sinte Nicolaes berge,51.561278,9.978043
st niclais kercke,Sinte Nicolaes berge,51.561278,9.978043
sinte nicolaijs kerckhof,Sinte Nicolaes berge,51.561278,9.978043
sente nicolaus keerckof,Sinte Nicolaes berge,51.561278,9.978043
sente nicolaus keerchof,Sinte Nicolaes berge,51.561278,9.978043
gravensteen,Grevensteyne,51.447229,9.414328
gravensteene,Grevensteyne,51.447229,9.414328
beijeren,Beileren,51.930108,8.117288
beieren,Beileren,51.930108,8.117288
goude,Goude,52.011189,4.710352
gouwde,Goude,52.011189,4.710352
goudse,Goude,52.011189,4.710352
ghoude,Goude,52.011189,4.710352
gouwe,Goude,52.011189,4.710352
gouw,Goude,52.011189,4.710352
walcheren,Walchen,52.930655,7.282523
walcheiren,Walchen,52.930655,7.282523
walcheeren,Walchen,52.930655,7.282523
walchere,Walchen,52.930655,7.282523
walckeren,Walchen,52.930655,7.282523
westcant,Wlnestat,50.283597,8.769337
westkant,Wlnestat,50.283597,8.769337
delfse vaart,Delfschehave,51.908329,4.448805
delftse vaart,Delfschehave,51.908329,4.448805
delfsche vaart,Delfschehave,51.908329,4.448805
delfse vaert,Delfschehave,51.908329,4.448805
delftsche vaart,Delfschehave,51.908329,4.448805
delftse vaert,Delfschehave,51.908329,4.448805
delffse vaert,Delfschehave,51.908329,4.448805
delftsevaert,Delfschehave,51.908329,4.448805
delfsevaert,Delfschehave,51.908329,4.448805
delftsche vaert,Delfschehave,51.908329,4.448805
de delfsevaert,Delfschehave,51.908329,4.448805
de delfse vaert,Delfschehave,51.908329,4.448805
de delftse vaert,Delfschehave,51.908329,4.448805
de delffse vaert,Delfschehave,51.908329,4.448805
bossche,Bochem,51.481705,7.219411
bosche,Bochem,51.481705,7.219411
bosch,Bochem,51.481705,7.219411
wijnhaven,Witzhave,53.567018,10.333057
wijn haven,Witzhave,53.567018,10.333057
wijnhave,Witzhave,53.567018,10.333057
bommel,Bommel,51.813647,5.24781
europa,Europa,51.0,10.0
delfse poort,Heselpoort,51.848398,5.85704
delftse poort,Heselpoort,51.848398,5.85704
delfse poorte,Heselpoort,51.848398,5.85704
delfsepoort,Heselpoort,51.848398,5.85704
delfse port,Heselpoort,51.848398,5.85704
delfsche poort,Heselpoort,51.848398,5.85704
delftse port,Heselpoort,51.848398,5.85704
delftsche poort,Heselpoort,51.848398,5.85704
delffsche poort,Heselpoort,51.848398,5.85704
de delfse poort,Heselpoort,51.848398,5.85704
delsffe poort,Heselpoort,51.848398,5.85704
delftsche port,Heselpoort,51.848398,5.85704
de delfsche poort,Heselpoort,51.848398,5.85704
de delffse port,Heselpoort,51.848398,5.85704
gheersberghe,Werberge,52.12569,9.30675
gheersberghen,Werberge,52.12569,9.30675
gheesberghe,Werberge,52.12569,9.30675
gheersberge,Werberge,52.12569,9.30675
geersberghe,Werberge,52.12569,9.30675
gheertsbeerghe,Werberge,52.12569,9.30675
gheersbergen,Werberge,52.12569,9.30675
geerstberghe,Werberge,52.12569,9.30675
geersberghen,Werberge,52.12569,9.30675
geesberghe,Werberge,52.12569,9.30675
geersberge,Werberge,52.12569,9.30675
gheerdtsbeerghe,Werberge,52.12569,9.30675
geersbergen,Werberge,52.12569,9.30675
geerberghen,Werberge,52.12569,9.30675
geerberge,Werberge,52.12569,9.30675
geestberghe,Werberge,52.12569,9.30675
gheeraertsbeerghe,Werberge,52.12569,9.30675
geeraertsberghe,Werberge,52.12569,9.30675
geeraertsberghen,Werberge,52.12569,9.30675
geerartsberghen,Werberge,52.12569,9.30675
geeraertsbergen,Werberge,52.12569,9.30675
geeraertbergen,Werberge,52.12569,9.30675
ter vere,Teuven,50.751545,5.874282
ter veren,Teuven,50.751545,5.874282
ter veere,Teuven,50.751545,5.874282
ter veuren,Teuven,50.751545,5.874282
terveren,Teuven,50.751545,5.874282
ter vele,Teuven,50.751545,5.874282
ter veer,Teuven,50.751545,5.874282
terveuren,Teuven,50.751545,5.874282
tervuren,Teuven,50.751545,5.874282
tevuren,Teuven,50.751545,5.874282
armentiers,Ermene,51.160994,9.858945
armentieres,Ermene,51.160994,9.858945
arementiers,Ermene,51.160994,9.858945
aermentiers,Ermene,51.160994,9.858945
amentiers,Ermene,51.160994,9.858945
arrementiers,Ermene,51.160994,9.858945
arementierts,Ermene,51.160994,9.858945
ermentiers,Ermene,51.160994,9.858945
aementiers,Ermene,51.160994,9.858945
hermentiers,Ermene,51.160994,9.858945
weert,Weert,51.22671351960191,5.78289014291338
weerdt,Weert,51.22671351960191,5.78289014291338
weer,Weert,51.22671351960191,5.78289014291338
weerd,Weert,51.22671351960191,5.78289014291338
weere,Weert,51.22671351960191,5.78289014291338
graven casteel,Grevensteyne,51.447229,9.414328
graven casteele,Grevensteyne,51.447229,9.414328
gravencasteel,Grevensteyne,51.447229,9.414328
graeven caesteel,Grevensteyne,51.447229,9.414328
graeve casteel,Grevensteyne,51.447229,9.414328
sgraven casteel,Grevensteyne,51.447229,9.414328
grand casteel,Grevensteyne,51.447229,9.414328
sgraven casteele,Grevensteyne,51.447229,9.414328
sgrave casteele,Grevensteyne,51.447229,9.414328
tsgraven casteel,Grevensteyne,51.447229,9.414328
tsgravencasteel,Grevensteyne,51.447229,9.414328
cautere,Lautern,54.009754,20.897169
cautre,Lautern,54.009754,20.897169
cauter,Lautern,54.009754,20.897169
cauere,Lautern,54.009754,20.897169
dronghene,Dongen,51.608860997504706,5.00161227663971
dronghen,Dongen,51.608860997504706,5.00161227663971
drongene,Dongen,51.608860997504706,5.00161227663971
malta,Malla,50.768432,5.521485
maltha,Malla,50.768432,5.521485
aernhem,Arnhem,51.95712812563355,5.9199589195001625
arnhem,Arnhem,51.95712812563355,5.9199589195001625
aerhem,Arnhem,51.95712812563355,5.9199589195001625
aarnhem,Arnhem,51.95712812563355,5.9199589195001625
de vreijheijt,,,
dezer vreijheijt,,,
dezen vreijheijt,,,
deser vreijheijt,,,
deeze vreijheijt,,,
"""dezen vreijheijt'""",,,
deezen vreijheijt,,,
ezen vreijheijt,,,
cathedrale kercke van sinte baefs,,,
cathedrale kercke  van sinte baefs,,,
cathedraele kercke van sinte baefs,,,
catthedraele kercke van sinte baefs,,,
cathedrale kercke van ste baefs,,,
cathedraele kercke van ste baefs,,,
catthedraele kercke van ste baefs,,,
kathedrale kercke van ste baefs,,,
cathedraelekercke van ste baefs,,,
catedraele kercke van ste baefs,,,
e cathedrale kercke van ste baefs,,,
de cathedrale kercke van ste baefs,,,
cathedraele kercke van ste jans,,,
inde catedraele kercke van ste baefs,,,
cathedraele van ste baefs,,,
catthedraele van ste baefs,,,
cathedraele van st baefs,,,
cathedraele van ste donaes,,,
de cathedraele van st baef,,,
de catthedraele van ste donaes,,,
de catthedraele van ste martens,,,
catthedraele kercke van ste rombaut,,,
de cathedraele kercke van st jans,,,
cathedraele kercke sint jans,,,
cathedraele kercke van ste steven,,,
burghstraete,Burgstaden,51.367052,11.874996
burgstraete,Burgstaden,51.367052,11.874996
burchstraete,Burgstaden,51.367052,11.874996
brughstraete,Burgstaden,51.367052,11.874996
burghraete,Burgstaden,51.367052,11.874996
burchtstraete,Burgstaden,51.367052,11.874996
