,match_place,la,lo
spaigniards,Spanje,39.3260685,-4.8379791
spaengiardsche,Spanje,39.3260685,-4.8379791
spaanse,Spanje,39.3260685,-4.8379791
spaanzen,Spanje,39.3260685,-4.8379791
spaans,Spanje,39.3260685,-4.8379791
spoansch,Spanje,39.3260685,-4.8379791
spaens,Spanje,39.3260685,-4.8379791
purmerende,Purmerende,52.509903,4.946108
purmerrende,Purmerende,52.509903,4.946108
purmerendie,Purmerende,52.509903,4.946108
purmerender,Purmerende,52.509903,4.946108
purmer ende,Purmerende,52.509903,4.946108
purmerend,Purmerende,52.509903,4.946108
pumerende,Purmerende,52.509903,4.946108
purmereijnde,Purmerende,52.509903,4.946108
purmer- ende,Purmerende,52.509903,4.946108
purmerends,Purmerende,52.509903,4.946108
purmenende,Purmerende,52.509903,4.946108
prumerende,Purmerende,52.509903,4.946108
purmeren,Purmerende,52.509903,4.946108
pumerend,Purmerende,52.509903,4.946108
purmer-eynd,Purmerende,52.509903,4.946108
purmerond,Purmerende,52.509903,4.946108
purmerent,Purmerende,52.509903,4.946108
purmert,Purmerende,52.509903,4.946108
purmer,Purmerende,52.509903,4.946108
brussel,Brussel,50.846675,4.352264
brusssel,Brussel,50.846675,4.352264
brussele,Brussel,50.846675,4.352264
bruissel,Brussel,50.846675,4.352264
bruessel,Brussel,50.846675,4.352264
breussel,Brussel,50.846675,4.352264
brusel,Brussel,50.846675,4.352264
bruussele,Brussel,50.846675,4.352264
brusselen,Brussel,50.846675,4.352264
bruijssel,Brussel,50.846675,4.352264
bruessele,Brussel,50.846675,4.352264
bruijsssel,Brussel,50.846675,4.352264
bruesssele,Brussel,50.846675,4.352264
bruijssele,Brussel,50.846675,4.352264
bruijsse,Brussel,50.846675,4.352264
bruijsel,Brussel,50.846675,4.352264
brijssel,Brussel,50.846675,4.352264
bruijse,Brussel,50.846675,4.352264
breuijsel,Brussel,50.846675,4.352264
bruisel,Brussel,50.846675,4.352264
bruesselle,Brussel,50.846675,4.352264
bruesele,Brussel,50.846675,4.352264
brusele,Brussel,50.846675,4.352264
bruesel,Brussel,50.846675,4.352264
bruusele,Brussel,50.846675,4.352264
bruselen,Brussel,50.846675,4.352264
brukelen,Brussel,50.846675,4.352264
borselen,Brussel,50.846675,4.352264
bruekelen,Brussel,50.846675,4.352264
breukelen,Brussel,50.846675,4.352264
brueckelen,Brussel,50.846675,4.352264
bruesse,Brussel,50.846675,4.352264
bruysel,Brussel,50.846675,4.352264
bruxsel,Brussel,50.846675,4.352264
brusels,Brussel,50.846675,4.352264
bruijssel v,Brussel,50.846675,4.352264
rotterdam,Rotterdam,51.92696217798205,4.502244166397443
rottterdam,Rotterdam,51.92696217798205,4.502244166397443
rotterdams,Rotterdam,51.92696217798205,4.502244166397443
rotter dam,Rotterdam,51.92696217798205,4.502244166397443
rotterdm,Rotterdam,51.92696217798205,4.502244166397443
rotterda,Rotterdam,51.92696217798205,4.502244166397443
rotteram,Rotterdam,51.92696217798205,4.502244166397443
roterdam,Rotterdam,51.92696217798205,4.502244166397443
rotterdamse,Rotterdam,51.92696217798205,4.502244166397443
rotterdamme,Rotterdam,51.92696217798205,4.502244166397443
rooterdam,Rotterdam,51.92696217798205,4.502244166397443
rotterd,Rotterdam,51.92696217798205,4.502244166397443
rotterdammer,Rotterdam,51.92696217798205,4.502244166397443
rotterdammers,Rotterdam,51.92696217798205,4.502244166397443
rotter,Rotterdam,51.92696217798205,4.502244166397443
rotte,Rotterdam,51.92696217798205,4.502244166397443
rotten,Rotterdam,51.92696217798205,4.502244166397443
rott,Rotterdam,51.92696217798205,4.502244166397443
hollant,Hollant,54.063861,19.659497
hollants,Hollant,54.063861,19.659497
hollandt,Hollant,54.063861,19.659497
hollan,Hollant,54.063861,19.659497
hollantse,Hollant,54.063861,19.659497
hollandts,Hollant,54.063861,19.659497
hollands,Hollant,54.063861,19.659497
hollandse,Hollant,54.063861,19.659497
holland,Hollant,54.063861,19.659497
hollanders,Hollant,54.063861,19.659497
hollland,Hollant,54.063861,19.659497
hollandtsen,Hollant,54.063861,19.659497
hollandsche,Hollant,54.063861,19.659497
hollander,Hollant,54.063861,19.659497
hollanden,Hollant,54.063861,19.659497
holland e,Hollant,54.063861,19.659497
hollandtschen,Hollant,54.063861,19.659497
hollantschen,Hollant,54.063861,19.659497
hollandtsche,Hollant,54.063861,19.659497
hollandschen,Hollant,54.063861,19.659497
hollantsche,Hollant,54.063861,19.659497
holandtsche,Hollant,54.063861,19.659497
hollansche,Hollant,54.063861,19.659497
hollandere,Hollant,54.063861,19.659497
hollantders,Hollant,54.063861,19.659497
holandt,Hollant,54.063861,19.659497
hoelandt,Hollant,54.063861,19.659497
inghelandt,Engelant,52.169581,5.942615
ijnghelandt,Engelant,52.169581,5.942615
inghlandt,Engelant,52.169581,5.942615
inghelant,Engelant,52.169581,5.942615
ingheandt,Engelant,52.169581,5.942615
ingelandt,Engelant,52.169581,5.942615
ynghelandt,Engelant,52.169581,5.942615
ijnghelant,Engelant,52.169581,5.942615
enghelandt,Engelant,52.169581,5.942615
inghelan,Engelant,52.169581,5.942615
ingelant,Engelant,52.169581,5.942615
ingeland,Engelant,52.169581,5.942615
ynghelant,Engelant,52.169581,5.942615
inghehant,Engelant,52.169581,5.942615
ingelaent,Engelant,52.169581,5.942615
enghelant,Engelant,52.169581,5.942615
engelant,Engelant,52.169581,5.942615
engelants,Engelant,52.169581,5.942615
engelandt,Engelant,52.169581,5.942615
engeland,Engelant,52.169581,5.942615
engeland e,Engelant,52.169581,5.942615
inghelsman,Engelant,52.169581,5.942615
inghelen,Engelant,52.169581,5.942615
ingelsman,Engelant,52.169581,5.942615
inghelschman,Engelant,52.169581,5.942615
engelsman,Engelant,52.169581,5.942615
inghelse,Engelant,52.169581,5.942615
inghels,Engelant,52.169581,5.942615
inghelsche,Engelant,52.169581,5.942615
inghel,Engelant,52.169581,5.942615
ingels,Engelant,52.169581,5.942615
inghelsch,Engelant,52.169581,5.942615
inghelseche,Engelant,52.169581,5.942615
inghelschen,Engelant,52.169581,5.942615
inghelschel,Engelant,52.169581,5.942615
ijnghelsche,Engelant,52.169581,5.942615
ingelsche,Engelant,52.169581,5.942615
ighelsche,Engelant,52.169581,5.942615
ingelschen,Engelant,52.169581,5.942615
ynghelschen,Engelant,52.169581,5.942615
